Transaction_ID,Date,Purchase Time,Customer Segment,Category,Description,Image Path,Espresso Machine,Drip Coffee Maker,French Press,Pour-over Brewer,Cold Brew Coffee Maker,Moka Pot,Siphon Coffee Maker,Single Serve Coffee Maker,Aeropress,Coffee Grinder,Burr Grinder,Espresso Grinder,Milk Frother,Steam Wand,Automatic Milk Steamer,Water Filter System,Water Softener,Tamper,Coffee Scale,Portafilter,Knock Box,Coffee Drip Tray,Milk Pitcher,Shot Glasses,Coffee Filters,Grinder Cleaning Brush,Espresso Machine Cleaning Solution,Milk Frother Cleaning Solution,Coffee Cups,To-go Cups,Saucers,Coffee Stirrers,Sugar Dispensers,Creamer Containers,Nitro Cold Brew Dispenser,Iced Coffee Brewer,Blender,Whipped Cream Dispenser,POS System,Cash Register,Receipt Printer,Coffee Bean Storage Bins,Refrigerators,Freezers,Coffee Canisters,Thermometers,Thermal Coffee Carafes,Ice Maker,Price (Total),Quantity,Customer Type,Loyalty Program,Supplier,Location,Payment Method,Transaction Size,Customer Age Group,Shipping Method,Purchase Intent,Equipment Name,Price (USD)
11,11/01/2024,Evening,Coffee Bar,Brewing Equipment,Compact size,/static/img/brewing_equipment/Espresso Machine.jpg,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,380,1,Returning,Yes,Supplier A,Los Angeles,Credit Card,5,41-60,Expedited,Immediate Use,Espresso Machine,53.9
12,12/01/2024,Evening,Cafe,Cleaning Tools,Durable,/static/img/cleaning_and_maintenance/Grinder Cleaning Brush.png,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,382,3,New,Yes,Supplier B,San Francisco,Mobile Payment,7,18-25,Regular,Gift,Grinder Cleaning Brush,Missing Price
13,13/01/2024,Morning,Hotel,Storage Equipment,Premium version,/static/img/storage_equipment/Coffee Bean Storage Bins.jpg,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,99,4,New,Yes,Supplier A,San Francisco,Credit Card,1,60+,Regular,Immediate Use,Coffee Bean Storage Bins,Missing Price
14,14/01/2024,Evening,Cafe,Accessories,Compact size,/static/img/serving_and_accessories/Thermal Coffee Carafes.jpg,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1596,4,Returning,Yes,Supplier A,Los Angeles,Credit Card,7,60+,Free Shipping,Immediate Use,Thermal Coffee Carafes,22.9
15,15/01/2024,Afternoon,Hotel,Water Filtration,Premium version,/static/img/water_management/Water Softener.png,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,912,5,New,No,Supplier A,New York,Cash,3,41-60,Expedited,Immediate Use,Water Softener,Missing Price
16,16/01/2024,Morning,Coffee Bar,Grinding Equipment,High quality,/static/img/grinding_equipment/Coffee Grinder.png,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1741,3,New,No,Supplier D,New York,Cash,9,60+,Free Shipping,Immediate Use,Coffee Grinder,119.0
17,17/01/2024,Afternoon,Cafe,Cleaning Tools,High quality,/static/img/cleaning_and_maintenance/Grinder Cleaning Brush.png,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1565,3,New,Yes,Supplier B,New York,Cash,6,60+,Regular,Gift,Grinder Cleaning Brush,Missing Price
18,18/01/2024,Afternoon,Office,Cleaning Tools,Compact size,/static/img/cleaning_and_maintenance/Grinder Cleaning Brush.png,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1655,1,New,Yes,Supplier A,San Francisco,Credit Card,9,18-25,Regular,Immediate Use,Grinder Cleaning Brush,Missing Price
19,19/01/2024,Afternoon,Personal/Home Use,Brewing Equipment,Compact size,/static/img/brewing_equipment/Espresso Machine.jpg,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1754,7,New,Yes,Supplier B,Miami,Mobile Payment,5,18-25,Free Shipping,Gift,Espresso Machine,53.9
20,20/01/2024,Afternoon,Hotel,Specialty Equipment,Durable,/static/img/cold_beverage_and_miscellaneous/Nitro Cold Brew Dispenser.png,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,321,1,Returning,No,Supplier D,San Francisco,Cash,7,18-25,Expedited,Immediate Use,Nitro Cold Brew Dispenser,Missing Price
21,21/01/2024,Morning,Personal/Home Use,Cleaning Tools,Durable,/static/img/cleaning_and_maintenance/Grinder Cleaning Brush.png,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,629,2,Returning,Yes,Supplier C,Miami,Mobile Payment,4,26-40,Expedited,Gift,Grinder Cleaning Brush,Missing Price
22,22/01/2024,Morning,Personal/Home Use,Milk Equipment,Premium version,/static/img/milk_and_steaming_tools/Milk Frother.png,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1940,4,Returning,Yes,Supplier A,Los Angeles,Cash,7,26-40,Expedited,Gift,Milk Frother,2.95
23,23/01/2024,Afternoon,Cafe,Water Filtration,Compact size,/static/img/water_management/Water Softener.png,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1325,4,Returning,Yes,Supplier B,Chicago,Cash,1,18-25,Expedited,Immediate Use,Water Softener,Missing Price
24,24/01/2024,Afternoon,Personal/Home Use,Water Filtration,High quality,/static/img/water_management/Water Softener.png,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,609,5,New,No,Supplier B,Miami,Credit Card,7,18-25,Free Shipping,Immediate Use,Water Softener,Missing Price
25,25/01/2024,Morning,Office,Milk Equipment,Durable,/static/img/milk_and_steaming_tools/Milk Frother.png,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,745,2,New,Yes,Supplier D,New York,Cash,8,26-40,Free Shipping,Gift,Milk Frother,2.95
26,26/01/2024,Morning,Personal/Home Use,POS Equipment,Durable,/static/img/shop_operations/POS System.png,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1905,4,Returning,No,Supplier A,San Francisco,Cash,5,41-60,Regular,Gift,POS System,1000.0
27,27/01/2024,Morning,Cafe,Milk Equipment,High quality,/static/img/milk_and_steaming_tools/Milk Frother.png,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1772,1,New,No,Supplier C,Los Angeles,Credit Card,2,60+,Expedited,Immediate Use,Milk Frother,2.95
28,28/01/2024,Evening,Office,Milk Equipment,Durable,/static/img/milk_and_steaming_tools/Milk Frother.png,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1163,2,New,No,Supplier B,New York,Mobile Payment,5,60+,Expedited,Gift,Milk Frother,2.95
29,29/01/2024,Evening,Coffee Bar,Water Filtration,Premium version,/static/img/water_management/Water Softener.png,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,495,1,Returning,No,Supplier A,Los Angeles,Cash,6,18-25,Expedited,Gift,Water Softener,Missing Price
30,30/01/2024,Evening,Personal/Home Use,Serving Equipment,Compact size,/static/img/serving_and_accessories/Coffee Cups.png,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1066,4,New,No,Supplier C,Chicago,Credit Card,2,41-60,Free Shipping,Gift,Coffee Cups,Missing Price
31,31/01/2024,Afternoon,Cafe,Water Filtration,High quality,/static/img/water_management/Water Softener.png,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1405,4,Returning,No,Supplier B,San Francisco,Cash,6,26-40,Expedited,Immediate Use,Water Softener,Missing Price
32,01/02/2024,Evening,Coffee Bar,Specialty Equipment,Compact size,/static/img/cold_beverage_and_miscellaneous/Nitro Cold Brew Dispenser.png,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1212,7,Returning,Yes,Supplier B,San Francisco,Credit Card,6,18-25,Free Shipping,Gift,Nitro Cold Brew Dispenser,Missing Price
33,02/02/2024,Afternoon,Coffee Bar,Brewing Equipment,Durable,/static/img/brewing_equipment/Espresso Machine.jpg,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,406,9,New,Yes,Supplier C,Chicago,Mobile Payment,1,41-60,Expedited,Gift,Espresso Machine,53.9
34,03/02/2024,Afternoon,Hotel,Storage Equipment,Durable,/static/img/storage_equipment/Coffee Bean Storage Bins.jpg,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1674,9,New,Yes,Supplier C,San Francisco,Mobile Payment,1,41-60,Expedited,Gift,Coffee Bean Storage Bins,Missing Price
35,04/02/2024,Evening,Office,Serving Equipment,High quality,/static/img/serving_and_accessories/Coffee Cups.png,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,323,5,Returning,No,Supplier D,Miami,Credit Card,3,41-60,Regular,Immediate Use,Coffee Cups,Missing Price
36,05/02/2024,Afternoon,Personal/Home Use,Grinding Equipment,Premium version,/static/img/grinding_equipment/Coffee Grinder.png,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1092,1,Returning,Yes,Supplier A,Los Angeles,Credit Card,3,26-40,Expedited,Immediate Use,Coffee Grinder,119.0
37,06/02/2024,Evening,Cafe,Storage Equipment,Standard model,/static/img/storage_equipment/Coffee Bean Storage Bins.jpg,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,360,1,New,No,Supplier A,New York,Credit Card,4,26-40,Expedited,Gift,Coffee Bean Storage Bins,Missing Price
38,07/02/2024,Evening,Hotel,Brewing Equipment,High quality,/static/img/brewing_equipment/Espresso Machine.jpg,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,919,6,Returning,No,Supplier D,Chicago,Mobile Payment,2,60+,Regular,Immediate Use,Espresso Machine,53.9
39,08/02/2024,Morning,Office,Specialty Equipment,Standard model,/static/img/cold_beverage_and_miscellaneous/Nitro Cold Brew Dispenser.png,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,935,2,Returning,No,Supplier B,Miami,Cash,9,60+,Free Shipping,Gift,Nitro Cold Brew Dispenser,Missing Price
40,09/02/2024,Evening,Hotel,Specialty Equipment,Standard model,/static/img/cold_beverage_and_miscellaneous/Nitro Cold Brew Dispenser.png,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,203,8,Returning,Yes,Supplier C,New York,Mobile Payment,7,41-60,Free Shipping,Immediate Use,Nitro Cold Brew Dispenser,Missing Price
41,10/02/2024,Morning,Office,Grinding Equipment,Premium version,/static/img/grinding_equipment/Coffee Grinder.png,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1463,9,New,No,Supplier C,New York,Credit Card,7,41-60,Expedited,Immediate Use,Coffee Grinder,119.0
42,11/02/2024,Evening,Office,Serving Equipment,Standard model,/static/img/serving_and_accessories/Coffee Cups.png,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1333,4,Returning,No,Supplier C,Chicago,Credit Card,6,26-40,Free Shipping,Gift,Coffee Cups,Missing Price
43,12/02/2024,Evening,Personal/Home Use,POS Equipment,Standard model,/static/img/shop_operations/POS System.png,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,669,5,New,Yes,Supplier B,Miami,Mobile Payment,3,60+,Expedited,Immediate Use,POS System,1000.0
44,13/02/2024,Morning,Office,Milk Equipment,Premium version,/static/img/milk_and_steaming_tools/Milk Frother.png,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,932,8,Returning,Yes,Supplier C,New York,Credit Card,6,41-60,Regular,Immediate Use,Milk Frother,2.95
45,14/02/2024,Morning,Hotel,Serving Equipment,Standard model,/static/img/serving_and_accessories/Coffee Cups.png,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,846,3,New,No,Supplier C,New York,Mobile Payment,8,60+,Regular,Immediate Use,Coffee Cups,Missing Price
46,15/02/2024,Evening,Office,POS Equipment,Standard model,/static/img/shop_operations/POS System.png,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1644,5,Returning,No,Supplier D,Miami,Credit Card,8,60+,Expedited,Gift,POS System,1000.0
47,16/02/2024,Afternoon,Personal/Home Use,Specialty Equipment,Standard model,/static/img/cold_beverage_and_miscellaneous/Nitro Cold Brew Dispenser.png,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,174,3,New,Yes,Supplier B,San Francisco,Cash,9,41-60,Regular,Immediate Use,Nitro Cold Brew Dispenser,Missing Price
48,17/02/2024,Morning,Personal/Home Use,Water Filtration,High quality,/static/img/water_management/Water Softener.png,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1427,3,New,Yes,Supplier A,New York,Cash,1,26-40,Regular,Immediate Use,Water Softener,Missing Price
49,18/02/2024,Afternoon,Hotel,Brewing Equipment,High quality,/static/img/brewing_equipment/Espresso Machine.jpg,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1346,3,New,Yes,Supplier D,Los Angeles,Credit Card,1,41-60,Expedited,Gift,Espresso Machine,53.9
50,19/02/2024,Afternoon,Coffee Bar,Grinding Equipment,High quality,/static/img/grinding_equipment/Coffee Grinder.png,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,668,7,Returning,No,Supplier D,Miami,Mobile Payment,3,41-60,Expedited,Immediate Use,Coffee Grinder,119.0
51,20/02/2024,Afternoon,Coffee Bar,Brewing Equipment,Premium version,/static/img/brewing_equipment/Espresso Machine.jpg,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1884,7,Returning,Yes,Supplier A,New York,Cash,3,60+,Regular,Immediate Use,Espresso Machine,53.9
52,21/02/2024,Morning,Office,Accessories,Durable,/static/img/serving_and_accessories/Thermal Coffee Carafes.jpg,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,294,7,Returning,Yes,Supplier D,Chicago,Mobile Payment,8,41-60,Free Shipping,Immediate Use,Thermal Coffee Carafes,22.9
53,22/02/2024,Afternoon,Cafe,Accessories,Standard model,/static/img/serving_and_accessories/Thermal Coffee Carafes.jpg,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,897,8,New,Yes,Supplier B,Los Angeles,Credit Card,1,26-40,Free Shipping,Immediate Use,Thermal Coffee Carafes,22.9
54,23/02/2024,Morning,Office,Serving Equipment,Standard model,/static/img/serving_and_accessories/Coffee Cups.png,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,499,5,Returning,No,Supplier C,New York,Mobile Payment,2,41-60,Expedited,Immediate Use,Coffee Cups,Missing Price
55,24/02/2024,Afternoon,Hotel,Specialty Equipment,Premium version,/static/img/cold_beverage_and_miscellaneous/Nitro Cold Brew Dispenser.png,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,979,5,New,Yes,Supplier B,Los Angeles,Cash,2,26-40,Expedited,Gift,Nitro Cold Brew Dispenser,Missing Price
56,25/02/2024,Evening,Hotel,Specialty Equipment,Standard model,/static/img/cold_beverage_and_miscellaneous/Nitro Cold Brew Dispenser.png,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1320,4,Returning,Yes,Supplier A,Los Angeles,Mobile Payment,3,26-40,Free Shipping,Gift,Nitro Cold Brew Dispenser,Missing Price
57,26/02/2024,Evening,Hotel,Milk Equipment,High quality,/static/img/milk_and_steaming_tools/Milk Frother.png,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,569,7,New,Yes,Supplier A,San Francisco,Mobile Payment,6,60+,Regular,Immediate Use,Milk Frother,2.95
58,27/02/2024,Morning,Hotel,Milk Equipment,Durable,/static/img/milk_and_steaming_tools/Milk Frother.png,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1214,4,New,Yes,Supplier D,Los Angeles,Credit Card,1,18-25,Free Shipping,Immediate Use,Milk Frother,2.95
59,28/02/2024,Evening,Hotel,Milk Equipment,Compact size,/static/img/milk_and_steaming_tools/Milk Frother.png,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,411,2,New,Yes,Supplier B,San Francisco,Credit Card,2,18-25,Free Shipping,Immediate Use,Milk Frother,2.95
60,29/02/2024,Evening,Personal/Home Use,Water Filtration,Standard model,/static/img/water_management/Water Softener.png,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,57,4,Returning,No,Supplier B,Miami,Credit Card,1,60+,Free Shipping,Gift,Water Softener,Missing Price
